,AWB Code,Order ID,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),ExternOrderNo,Order Qty,Weight (g),Total_Weight,X_Charged_Weight_KG,Warehouse Pincode_y,Zone_y,Zone,Weight Slabs,Forward Fixed Charge,Forward Additional Weight Slab Charge,RTO Fixed Charge,RTO Additional Weight Slab Charge,X_price
0,1091117222124,2001806232,1.3,121003,507101,d,Forward charges,135.0,2001806232,8.0,377,1302.0,1.302,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
1,1091117222194,2001806273,1.0,121003,486886,d,Forward charges,90.2,2001806273,4.0,615,615.0,0.615,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
2,1091117222931,2001806408,2.5,121003,532484,d,Forward charges,224.6,2001806408,12.0,929,2265.0,2.265,121003,d,d,1.5,45.4,44.8,41.3,44.8,90.19999999999999
3,1091117223244,2001806458,1.0,121003,143001,b,Forward charges,61.3,2001806458,2.0,700,700.0,0.7,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
4,1091117229345,2001807012,0.15,121003,515591,d,Forward charges,45.4,2001807012,1.0,240,240.0,0.24,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
5,1091117229555,2001806686,0.15,121003,326502,d,Forward charges,45.4,2001806686,1.0,240,240.0,0.24,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
6,1091117229776,2001806885,1.0,121003,208019,b,Forward charges,61.3,2001806885,4.0,420,840.0,0.84,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
7,1091117323112,2001807058,1.15,121003,140301,b,Forward charges,89.6,2001807058,6.0,1168,1168.0,1.168,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
8,1091117323112,2001807058,1.15,121003,140301,b,Forward charges,89.6,2001807058,6.0,1168,1168.0,1.168,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
9,1091117323812,2001807186,0.5,121003,396001,d,Forward charges,45.4,2001807186,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
10,1091117324206,2001807290,0.5,121003,711106,d,Forward charges,45.4,2001807290,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
11,1091117326612,2001807814,0.79,121003,284001,b,Forward charges,61.3,2001807814,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
12,1091117327172,2001807931,0.72,121003,441601,d,Forward charges,90.2,2001807931,3.0,607,607.0,0.607,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
13,1091117327275,2001807956,1.08,121003,248006,b,Forward charges,89.6,2001807956,5.0,790,1080.0,1.08,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
14,1091117327312,2001807960,1.0,121003,485001,d,Forward charges,90.2,2001807960,4.0,930,930.0,0.93,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
